kta1 ; P1 ; t1 ;        10.00 ;        40.00 ;         1.00
kta2 ; P1 ; t2 ;         0.00 ;        30.00 ;         0.00
kta3 ; P1 ; t3 ;        80.00 ;         0.00 ;         1.00
kta4 ; P1 ; t4 ;         0.00 ;         0.00 ;         0.00
kta5 ; P2 ; t1 ;        90.00 ;       100.00 ;         1.00
kta6 ; P2 ; t2 ;         0.00 ;       110.00 ;         0.00
kta7 ; P2 ; t3 ;        30.00 ;        60.00 ;         1.00
kta8 ; P2 ; t4 ;         0.00 ;         0.00 ;         0.00
kta9 ; P3 ; t1 ;         0.00 ;         0.00 ;         0.00
kta10 ; P3 ; t2 ;       140.00 ;         0.00 ;         1.00
kta11 ; P3 ; t3 ;         0.00 ;         0.00 ;         0.00
kta12 ; P3 ; t4 ;         0.00 ;         0.00 ;         0.00
kta13 ; P4 ; t1 ;         0.00 ;       100.00 ;         0.00
kta14 ; P4 ; t2 ;         0.00 ;       100.00 ;         0.00
kta15 ; P4 ; t3 ;        60.00 ;        20.00 ;         1.00
kta16 ; P4 ; t4 ;         0.00 ;         0.00 ;         0.00
